scientific_name	colour	check	matched_on	was	what the flora says
Anemonastrum canadense	white	CHECK	common name	#f2f2ea	Flowers white,  25-30 mm across.
Anticlea occidentalis	purple	CHECK	common name	#ece6c8	Flowers greenish purple, drooping, 10-15 mm long, in a raceme on a  stem 30-50 cm high.
Cornus sericea	white	CHECK	common name	#f2f2ea	Small white flowers  borne in flat-topped clusters 2-5 cm across.
Dalea purpurea	red,purple	CHECK	common name	#8e6fc4	Flower spikes dense and cylindric, 1-5 cm long, with red or purple  flowers.
Doellingeria umbellata	white	CHECK	common name	#f2f2ea	Very numerous flower heads 12-20 mm across, with white ray florets in a  large flat-topped terminal cluster.
Dryas hookeriana	white	CHECK	common name	#f2f2ea	petals about 1 cm long, white;
Erythranthe guttata	yellow	CHECK	common name	#f2c11e	Conspicuous flowers 25-45 mm  long, bright yellow with an open mouth, somewhat hairy inside the lower lip;
Eurybia conspicua	purple,blue	CHECK	common name	#8e6fc4	Inflorescence a large corymb of violet to blue  flowers, each about 4 cm across;
Eurybia sibirica	purple,white	CHECK	common name	#8e6fc4	ligules 7—12 mm long, purple to violet or sometimes whitish;
Euthamia graminifolia	yellow	CHECK	common name	#f2c11e	Small yellow flowers, in very  short-stemmed terminal clusters, forming a somewhat flat-topped  inflorescence.
Eutrochium maculatum	pink,purple	CHECK	common name	#f2f2ea	Flower heads pinkish or purplish and consisting of pinkish lilac tubular  florets;
Gentianella amarella	purple,blue,yellow,white	CHECK	common name	#6f8fd6	Flowers  varying from purplish and blue to greenish yellow or white, 10-20 mm, borne  in clusters in upper leaf axils.
Heterotheca villosa	yellow	CHECK	common name	#f2c11e	Flower heads not numerous, radiate, with bright yellow  ray florets, 25 mm or more across.
Myriophyllum sibiricum	purple	CHECK	common name	#f2f2ea	Flowers purplish, small, with 4 petals and 8 stamens, borne in whorls on a spike 2-8 cm  long protruding above the water.
Osmorhiza longistylis	white,green	CHECK	common name	#f2f2ea	Flowers small,  white, in compound umbels, with green leaf-like bracts at base of each umbellet or terminal small umbel.
Primula pauciflora	pink,purple,yellow	CHECK	common name	#e58fb0	Flowers pink or lilac with a yellowish throat, often with a purple  wavy line, 1-12 in an umbel on a stem 10-30 cm high.
Rhodiola integrifolia	purple,yellow	CHECK	common name	#f2c11e	Flowers  6-10 mm across, dark purple to dull reddish yellow, borne in a terminal cyme.
Symphyotrichum ciliolatum	blue,purple	CHECK	common name	#8e6fc4	Flower heads usually few, blue to violet, 15-30 mm across.
Symphyotrichum falcatum	white	CHECK	common name	#f5f5f0	flowers white, 20-25 mm across.
Symphyotrichum laeve	blue	CHECK	common name	#8e6fc4	Numerous flower heads 2-3 cm across, with blue ray florets;
Symphyotrichum lanceolatum	white,purple,pink	CHECK	common name	#8e6fc4	Flower heads numerous, in a branching panicle, varying from white to violet  or pink.
Actaea rubra	white		name	#f2f2ea	Flowers small, white, in dense clusters at the ends of the stems, with the sepals falling off when the flower opens.
Agastache foeniculum	blue		name	#8e6fc4	Flowers blue, 6-12 mm long, in a dense spike,  sometimes interrupted, 2-10 cm long and 12-18 mm thick at ends of stems.
Agoseris glauca	yellow,pink	CHECK	name	#f2c11e	Flowers 2-5 cm across, light yellow when young but turning  pinkish at maturity, on a stem 15-45 cm high.
Agrimonia striata	yellow		name	#f2c11e	Small yellow  flowers borne in a spike-like raceme.
Allium schoenoprasum	pink		name	#e58fb0	flower stalks very short and flowers bright rose pink.
